This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for D-67336185 (margin) on 1/15/26 17:01:25

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,1/15/26 15:17:28,SINGLE,BUY,+1,TO CLOSE,SPY,15 JAN 26,693,PUT,1.23,1.23,.00,MKT
,,1/15/26 15:16:00,SINGLE,BUY,+1,TO CLOSE,SPY,15 JAN 26,693,PUT,.90,.90,.00,MKT
,,1/15/26 15:15:59,SINGLE,BUY,+1,TO CLOSE,SPY,15 JAN 26,693,PUT,.91,.91,.00,MKT
,,1/15/26 15:15:53,SINGLE,SELL,-1,TO OPEN,SPY,15 JAN 26,693,PUT,.99,.99,.00,MKT
,,1/15/26 15:10:59,SINGLE,SELL,-2,TO OPEN,SPY,15 JAN 26,693,PUT,.79,.79,.00,MKT
,,1/15/26 12:59:26,SINGLE,SELL,-2,TO CLOSE,SPY,15 JAN 26,695,CALL,.29,.29,.00,MKT
,,1/15/26 12:48:15,SINGLE,BUY,+2,TO OPEN,SPY,15 JAN 26,695,CALL,.61,.61,.00,MKT
,,1/15/26 10:17:54,SINGLE,SELL,-2,TO CLOSE,SPY,15 JAN 26,695,CALL,.53,.53,.00,MKT
,,1/15/26 09:59:48,SINGLE,BUY,+2,TO OPEN,SPY,15 JAN 26,695,CALL,.55,.55,.00,MKT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,1/15/26 15:17:27,SINGLE,BUY,100%,TO CLOSE,SPY,15 JAN 26,693,PUT,~,MKT,DAY,TRIGGERED
,,1/15/26 15:16:07,SINGLE,SELL,-2,TO OPEN,SPY,15 JAN 26,693,PUT,~,MKT,DAY,CANCELED
,,,,,,,,,,,.31,STP,STD,
,,1/15/26 12:59:22,SINGLE,SELL,-100%,TO CLOSE,SPY,15 JAN 26,695,CALL,~,MKT,DAY,TRIGGERED
,,1/15/26 10:17:53,SINGLE,SELL,-100%,TO CLOSE,SPY,15 JAN 26,695,CALL,~,MKT,DAY,TRIGGERED
,,1/15/26 10:17:51,SINGLE,SELL,-2,TO CLOSE,SPY,15 JAN 26,695,CALL,~,MKT,DAY,CANCELED
,,,,,,,,,,,.37,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
