Today's Trade Activity for acct (Contributory IRA) on 11/6/25 15:59:15

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,11/6/25 09:38:01,STOCK,SELL,-25,TO CLOSE,XPEV,,,STOCK,24.31,24.31,-,LMT
,,11/6/25 09:37:46,STOCK,SELL,-25,TO CLOSE,XPEV,,,STOCK,24.12,24.12,-,LMT
,,11/6/25 09:37:24,STOCK,SELL,-50,TO CLOSE,XPEV,,,STOCK,23.84,23.84,-,LMT
,,11/6/25 09:36:00,STOCK,BUY,+58,TO OPEN,XPEV,,,STOCK,23.60,23.60,-,LMT
,,11/6/25 09:36:00,STOCK,BUY,+42,TO OPEN,XPEV,,,STOCK,23.60,23.60,-,LMT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/6/25 09:37:20,STOCK,SELL,-100,TO CLOSE,XPEV,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,23.10,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
