Today's Trade Activity for acct (Individual) on 10/16/25 16:35:09

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,10/16/25 11:33:07,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.04,12.04,-,STP
,,10/16/25 11:33:07,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.04,12.04,-,STP
,,10/16/25 10:12:19,STOCK,BUY,+200,TO OPEN,ATXS,,,STOCK,12.0399,12.0399,.02,MKT
,,10/16/25 10:01:03,STOCK,SELL,-50,TO CLOSE,AQMS,,,STOCK,18.5201,18.52,-,STP
,,10/16/25 10:00:21,STOCK,BUY,+50,TO OPEN,AQMS,,,STOCK,19.1996,19.1996,-,LMT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/16/25 11:33:07,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.39,LMT,DAY,CANCELED
,,,RE #1004427777631,,,,,,,,,,,
,,,OCO #1004427777578,,,,,,,,,,,
,,10/16/25 10:58:45,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.38,LMT,DAY,CANCELED
,,,RE #1004427777579,,,,,,,,,,,
,,,OCO #1004427777578,,,,,,,,,,,
,,10/16/25 10:58:42,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.15,LMT,DAY,CANCELED
,,,OCO #1004427777578,,,,,,,,,,,
,,10/16/25 10:58:28,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,~,MKT,DAY,CANCELED
,,,OCO #1004427777578,,,,,,,,12.00,STP,STD,
,,10/16/25 11:33:07,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.24,LMT,DAY,CANCELED
,,,RE #1004427777598,,,,,,,,,,,
,,,OCO #1004427777597,,,,,,,,,,,
,,10/16/25 10:58:35,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,12.17,LMT,DAY,CANCELED
,,,OCO #1004427777597,,,,,,,,,,,
,,10/16/25 10:58:26,STOCK,SELL,-100,TO CLOSE,ATXS,,,STOCK,~,MKT,DAY,CANCELED
,,,OCO #1004427777597,,,,,,,,12.00,STP,STD,
,,10/16/25 10:58:11,STOCK,SELL,-200,TO CLOSE,ATXS,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004426580048,,,,,,,,12.04,STP,STD,
,,10/16/25 10:57:36,STOCK,SELL,-200,TO CLOSE,ATXS,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,11.89,STP,STD,
,,10/16/25 10:07:38,STOCK,BUY,+20,TO OPEN,AQMS,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,19.49,STP,STD,
,,10/16/25 10:02:05,STOCK,BUY,+50,TO OPEN,AQMS,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,19.48,STP,STD,
,,10/16/25 09:59:20,STOCK,BUY,+200,TO OPEN,SPCE,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,5.03,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
