Today's Trade Activity for acct (Individual) on 9/25/25 18:28:04

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,9/25/25 10:30:30,STOCK,SELL,-200,TO CLOSE,PLUG,,,STOCK,2.345,2.345,1.00,MKT
,,9/25/25 10:26:13,STOCK,BUY,+200,TO OPEN,PLUG,,,STOCK,2.3456,2.3456,.88,MKT
,,9/25/25 09:58:47,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,7.1601,7.16,.005,MKT
,,9/25/25 09:56:22,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,7.18,7.18,-,LMT
,,9/25/25 09:48:48,STOCK,BUY,+100,TO OPEN,BBAI,,,STOCK,7.0155,7.0155,.45,MKT
,,9/25/25 09:46:25,STOCK,SELL,-100,TO CLOSE,BBAI,,,STOCK,6.8801,6.8801,.01,MKT
,,9/25/25 09:45:41,STOCK,BUY,+100,TO OPEN,BBAI,,,STOCK,6.9699,6.9699,.01,MKT
,,9/25/25 09:43:43,STOCK,SELL,-100,TO CLOSE,CIFR,,,STOCK,12.64,12.64,-,STP
,,9/25/25 09:41:55,STOCK,BUY,+100,TO OPEN,CIFR,,,STOCK,12.875,12.875,.50,MKT
,,9/25/25 09:41:32,STOCK,SELL,-100,TO CLOSE,PLUG,,,STOCK,2.20,2.20,-,STP
,,9/25/25 09:40:31,STOCK,BUY,+100,TO OPEN,PLUG,,,STOCK,2.2499,2.2499,.01,LMT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,9/25/25 10:30:29,STOCK,SELL,-200,TO CLOSE,PLUG,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,2.29,STP,STD,
,,9/25/25 09:58:24,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504943,,,,,,,,7.13,STP,STD,
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:56:26,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504916,,,,,,,,7.12,STP,STD,
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:56:14,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504722,,,,,,,,7.11,STP,STD,
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:55:55,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504617,,,,,,,,7.04,STP,STD,
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:58:24,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,7.32,LMT,DAY,CANCELED
,,,RE #1004240504616,,,,,,,,,,,
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:53:27,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,7.24,LMT,DAY,CANCELED
,,,OCO #1004240504615,,,,,,,,,,,
,,9/25/25 09:54:19,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,OCO #1004240504615,,,,,,,,7.01,STP,STD,
,,9/25/25 09:56:22,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504878,,,,,,,,7.12,STP,STD,
,,,OCO #1004240504610,,,,,,,,,,,
,,9/25/25 09:55:37,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504867,,,,,,,,7.11,STP,STD,
,,,OCO #1004240504610,,,,,,,,,,,
,,9/25/25 09:55:34,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504731,,,,,,,,7.10,STP,STD,
,,,OCO #1004240504610,,,,,,,,,,,
,,9/25/25 09:55:28,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504612,,,,,,,,7.04,STP,STD,
,,,OCO #1004240504610,,,,,,,,,,,
,,9/25/25 09:53:32,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,7.23,LMT,DAY,CANCELED
,,,OCO #1004240504610,,,,,,,,,,,
,,9/25/25 09:54:21,STOCK,SELL,-50,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,OCO #1004240504610,,,,,,,,7.01,STP,STD,
,,9/25/25 09:53:13,STOCK,SELL,-100,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004240504055,,,,,,,,6.94,STP,STD,
,,9/25/25 09:50:45,STOCK,SELL,-100,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,6.87,STP,STD,
,,9/25/25 09:46:23,STOCK,SELL,-100,TO CLOSE,BBAI,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,6.85,STP,STD,
,,9/25/25 09:40:10,STOCK,BUY,+300,TO OPEN,BTOC,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,1.03,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
