Today's Trade Activity for acct (Individual) on 10/13/25 16:04:38

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,10/13/25 09:52:38,STOCK,SELL,-70,TO CLOSE,SOFI,,,STOCK,27.1644,27.16443,.308,MKT
,,10/13/25 09:50:58,STOCK,SELL,-10,TO CLOSE,SOFI,,,STOCK,27.40,27.40,.10,MKT
,,10/13/25 09:50:26,STOCK,SELL,-10,TO CLOSE,SOFI,,,STOCK,27.27,27.27,-,LMT
,,10/13/25 09:50:24,STOCK,SELL,-10,TO CLOSE,SOFI,,,STOCK,27.27,27.27,-,LMT
,,10/13/25 09:43:20,STOCK,BUY,+100,TO OPEN,SOFI,,,STOCK,26.93,26.93,1.00,MKT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/13/25 15:59:41,SINGLE,BUY,+2,TO OPEN,SPY,13 OCT 25,663,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138995,,,,,,,,.34,STP,STD,
,,10/13/25 15:56:36,SINGLE,BUY,+2,TO OPEN,SPY,13 OCT 25,663,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138987,,,,,,,,.35,STP,STD,
,,10/13/25 15:56:31,SINGLE,BUY,+2,TO OPEN,SPY,13 OCT 25,663,PUT,~,MKT,DAY,CANCELED
,,,,,,,,,,,.36,STP,STD,
,,10/13/25 15:55:46,SINGLE,BUY,+3,TO OPEN,SPY,13 OCT 25,662,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138579,,,,,,,,.14,STP,STD,
,,10/13/25 15:48:02,SINGLE,BUY,+3,TO OPEN,SPY,13 OCT 25,662,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138577,,,,,,,,.13,STP,STD,
,,10/13/25 15:48:00,SINGLE,BUY,+3,TO OPEN,SPY,13 OCT 25,662,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138559,,,,,,,,.14,STP,STD,
,,10/13/25 15:47:57,SINGLE,BUY,+3,TO OPEN,SPY,13 OCT 25,662,PUT,~,MKT,DAY,CANCELED
,,,RE #1004396138521,,,,,,,,.15,STP,STD,
,,10/13/25 15:47:42,SINGLE,BUY,+3,TO OPEN,SPY,13 OCT 25,662,PUT,~,MKT,DAY,CANCELED
,,,,,,,,,,,.25,STP,STD,
,,10/13/25 09:52:37,STOCK,SELL,-70,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004387066678,,,,,,,,26.97,STP,STD,
,,10/13/25 09:51:27,STOCK,SELL,-70,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004387066648,,,,,,,,26.99,STP,STD,
,,10/13/25 09:51:25,STOCK,SELL,-70,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,27.07,STP,STD,
,,10/13/25 09:50:57,STOCK,SELL,-80,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004387066563,,,,,,,,26.97,STP,STD,
,,10/13/25 09:50:47,STOCK,SELL,-80,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #1004387066506,,,,,,,,26.85,STP,STD,
,,10/13/25 09:50:37,STOCK,SELL,-80,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,26.51,STP,STD,
,,10/13/25 09:49:35,STOCK,SELL,-100,TO CLOSE,SOFI,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,26.50,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
