Today's Trade Activity for acct (Contributory IRA) on 12/3/25 22:24:30

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status

Filled Orders
,,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Price Improvement,Order Type
,,12/3/25 09:50:51,STOCK,SELL,-80,TO CLOSE,IRBT,,,STOCK,2.4544,2.45437,.352,MKT
,,12/3/25 09:42:28,STOCK,SELL,-20,TO CLOSE,IRBT,,,STOCK,2.59,2.59,-,LMT
,,12/3/25 09:41:28,STOCK,SELL,-40,TO CLOSE,IRBT,,,STOCK,2.49,2.49,-,LMT
,,12/3/25 09:40:32,STOCK,SELL,-40,TO CLOSE,IRBT,,,STOCK,2.41,2.41,-,LMT
,,12/3/25 09:38:25,STOCK,SELL,-20,TO CLOSE,IRBT,,,STOCK,2.3433,2.3435,.066,LMT
,,12/3/25 09:35:01,STOCK,BUY,+200,TO OPEN,IRBT,,,STOCK,2.2772,2.2772,.56,LMT

Canceled Orders
Notes,,Time Canceled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,12/3/25 09:50:44,STOCK,SELL,-80,TO CLOSE,IRBT,,,STOCK,~,MKT,DAY,REJECTED: The stop price must be above the current ask for buy stop orders and below the bid for sell stop orders.
,,,,,,,,,,,2.49,STP,STD,
,,12/3/25 09:50:28,STOCK,SELL,-20,TO CLOSE,IRBT,,,STOCK,2.77,LMT,DAY,CANCELED
,,12/3/25 09:48:47,STOCK,SELL,-100,TO CLOSE,IRBT,,,STOCK,2.71,LMT,DAY,REJECTED: This order may result in an oversold/overbought position in your account.  Please check your position quantity and/or open orders.
,,12/3/25 09:48:47,STOCK,BUY,+100,TO CLOSE,IRBT,,,STOCK,~,MKT,DAY,REJECTED
,,,TRG BY #1004820823021,,,,,,,,BASE+1.00,STP,STD,
,,,,,,,,,,,3.71,STP,,
,,12/3/25 09:48:19,STOCK,SELL,-80,TO OPEN,ENLV,,,STOCK,~,MKT,DAY,REJECTED: Short sales are not permitted in this account type.
,,,,,,,,,,,MARK-5.00%,TR,MARK,
,,12/3/25 09:48:03,STOCK,SELL,-80,TO CLOSE,IRBT,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,2.49,STP,STD,
,,12/3/25 09:45:35,STOCK,SELL,-50,TO CLOSE,IRBT,,,STOCK,2.74,LMT,DAY,CANCELED
,,12/3/25 09:44:09,STOCK,SELL,-20,TO CLOSE,IRBT,,,STOCK,2.74,LMT,DAY,CANCELED
,,,RE #1004820822184,,,,,,,,,,,
,,12/3/25 09:43:59,STOCK,SELL,-20,TO CLOSE,IRBT,,,STOCK,2.76,LMT,DAY,CANCELED
,,12/3/25 09:41:51,STOCK,SELL,-100,TO CLOSE,IRBT,,,STOCK,2.54,LMT,DAY,CANCELED
,,12/3/25 09:38:20,STOCK,SELL,-200,TO CLOSE,IRBT,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,2.11,STP,STD,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
